"Name","Source","Rarity","Type","Attunement","Properties","Weight","Value","Text"
"Abacus","PHB","none","adventuring gear","","","2 lb.","2 gp",""
"Acid (vial)","PHB","none","adventuring gear","","","1 lb.","25 gp","As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes 2d6 acid damage."
"Alchemist's Fire (flask)","PHB","none","adventuring gear","","","1 lb.","50 gp","This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes 1d4 fire damage at the start of each of its turns. A creature can end this damage by using its action to make a DC 10 Dexterity check to extinguish the flames."
"Alchemist's Supplies","PHB","none","artisan's tools","","","8 lb.","50 gp","Alchemist's supplies enable a character to produce useful concoctions, such as acid or alchemist's fire. Components. Alchemist's supplies include two glass beakers, a metal frame to hold a beaker in place over an open flame, a glass stirring rod, a small mortar and pestle, and a pouch of common alchemical ingredients, including salt, powdered iron, and purified water. Arcana. Proficiency with alchemist's supplies allows you to unlock more information on Arcana checks involving potions and similar materials. Investigation. When you inspect an area for clues, proficiency with alchemist's supplies grants additional insight into any chemicals or other substances that might have been used in the area. Alchemical Crafting. You can use this tool proficiency to create alchemical items. A character can spend money to collect raw materials, which weigh 1 pound for every 50 gp spent. The DM can allow a character to make a check using the indicated skill with advantage. As part of a long rest, you can use alchemist's supplies to make one dose of acid, alchemist's fire, antitoxin, oil, perfume, or soap. Subtract half the value of the created item from the total gp worth of raw materials you are carrying.Alchemist's SuppliesActivityDCCreate a puff of thick smoke10Identify a poison10Identify a substance15Start a fire15Neutralize acid20See the Tool Proficiencies entry for more information."
"Ale (Gallon)","PHB","none","food and drink","","","","2 sp",""
"Ale (Mug)","PHB","none","food and drink","","","","4 cp",""
"Amulet","PHB","none","spellcasting focus","","","1 lb.","5 gp","A holy symbol is a representation of a god or pantheon.A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield."
"Antitoxin (vial)","PHB","none","adventuring gear","","","","50 gp","A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs."
"Arcane Focus","PHB","none","spellcasting focus","","","","","An arcane focus is a special item—an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item—designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.Multiple variations of this item exist, as listed below:CrystalOrbRodStaffWand"
"Arrow","PHB","none","ammunition","","","0.8 oz.","5 cp",""
"Arrows (20)","PHB","none","ammunition","","","1 lb.","1 gp",""
"Artisan's Tools","PHB","none","artisan's tools","","","","","Multiple variations of this item exist, as listed below:Alchemist's SuppliesBrewer's SuppliesCalligrapher's SuppliesCarpenter's ToolsCartographer's ToolsCobbler's ToolsCook's UtensilsGlassblower's ToolsJeweler's ToolsLeatherworker's ToolsMason's ToolsPainter's SuppliesPotter's ToolsSmith's ToolsTinker's ToolsWeaver's ToolsWoodcarver's ToolsSee the Tool Proficiencies entry for more information."
"Backpack","PHB","none","adventuring gear","","","5 lb.","2 gp","A backpack can hold one cubic foot or 30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack."
"Bagpipes","PHB","none","instrument","","","6 lb.","30 gp","See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Ball Bearing","PHB","none","adventuring gear","","","0.032 oz.","0,1 cp","Most commonly found inside a bag of ball bearings."
"Ball Bearings (bag of 1,000)","PHB","none","adventuring gear","","","2 lb.","1 gp","As an action, you can spill these tiny metal balls from their pouch to cover a level area 10 feet square. A creature moving across the covered area must succeed on a DC 10 Dexterity saving throw or fall prone. A creature moving through the area at half speed doesn't need to make the saving throw."
